id;title;author;published_year;price;available
1;between oof;till;15279;16922.13;true
2;gosh pish incline;maestro but boulevard;2038;26732.38;true
3;source;knickers;31980;13935.24;false
4;event;sparse far;31599;1251.91;false
5;boohoo;taro;1165;32120.73;false
6;worth coliseum;neatly arbitrate pack;6572;23107.38;false
7;completion ha;modulo ouch;1972;20655.33;true
8;avaricious;indeed bah instruction;21972;466.78;true
9;versus aware;oof;16096;17035.95;false
10;whoever scratchy apud;for;29384;22904.58;true
